,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000.0,Petrol
1,sx4,2013,7089.55,Diesel
2,ciaz,2017,10820.9,Petrol
3,wagon r,2011,4253.73,Petrol
4,swift,2014,6865.67,Diesel
5,vitara brezza,2018,13805.97,Diesel
6,ciaz,2015,10074.63,Petrol
7,s cross,2015,9701.49,Diesel
8,ciaz,2016,13059.7,Diesel
9,ciaz,2015,11119.4,Diesel
10,alto 800,2017,4253.73,Petrol
11,ciaz,2015,10223.88,Diesel
12,ciaz,2015,11194.03,Petrol
13,ertiga,2015,9104.48,Petrol
14,dzire,2009,3358.21,Petrol
15,ertiga,2016,11567.16,Diesel
16,ertiga,2015,10820.9,Diesel
17,ertiga,2016,11567.16,Diesel
18,wagon r,2015,4850.75,CNG
19,sx4,2010,3955.22,Petrol
20,alto k10,2016,4253.73,Petrol
21,ignis,2017,7313.43,Petrol
22,sx4,2011,6567.16,Petrol
23,alto k10,2014,3731.34,Petrol
24,wagon r,2013,4328.36,Petrol
25,swift,2011,4477.61,Petrol
26,swift,2013,6194.03,Petrol
27,swift,2017,8955.22,Petrol
28,alto k10,2010,2910.45,Petrol
29,ciaz,2015,11119.4,Diesel
30,corolla altis,2013,10373.13,Petrol
31,etios cross,2015,6716.42,Petrol
32,fortuner,2014,27985.07,Diesel
33,fortuner,2015,35074.63,Diesel
34,fortuner,2017,49253.73,Diesel
35,etios liva,2014,7089.55,Diesel
36,innova,2017,29477.61,Petrol
37,fortuner,2010,13805.97,Diesel
38,corolla altis,2011,6492.54,Petrol
39,corolla altis,2016,21268.66,Petrol
40,etios liva,2014,5895.52,Diesel
41,corolla altis,2011,6716.42,Diesel
42,corolla altis,2013,11119.4,Petrol
43,etios liva,2011,3955.22,Petrol
44,etios cross,2014,7313.43,Diesel
45,etios g,2015,5895.52,Petrol
46,corolla altis,2013,8208.96,Petrol
47,corolla,2004,2238.81,Petrol
48,corolla altis,2010,7835.82,Petrol
49,fortuner,2012,21641.79,Diesel
50,corolla altis,2016,21985.07,Diesel
51,etios gd,2015,7089.55,Diesel
52,innova,2017,34328.36,Diesel
53,innova,2015,18656.72,Diesel
54,innova,2005,5208.96,Diesel
55,camry,2006,3731.34,Petrol
56,land cruiser,2010,52238.81,Diesel
57,corolla altis,2012,8805.97,Petrol
58,etios liva,2013,5149.25,Petrol
59,etios g,2014,7089.55,Petrol
